Título;Fecha;Comentario
La casa;2024;Un sutil drama familiar que se queda flojo. Parece que los actores están demasiado pegados al texto, con una intrahistoria y biblia de personajes poco trabajada. De hecho, ninguno brilla. Con todo, queda algo sosa. Algo valioso: no promete nada que no pueda dar. Ah, y algo muy importante sobre esta peli: está ambientada en la CV y hay un total de DOS frases en valenciano. Ves cine vasco, gallego, catalán, y la mitad de la peli es en su idioma y nosotros somos gilipollas que no sacamos lo nuestro.
El último late night;2023;Está muy chula. Terror con formato a lo mockumentary ambientado en los setenta. Camina adelante, buena factura, te mantiene atento, iconografía guapísima... Buen rato hemos pasado.
El otro lado, miniserie;2023;El humor de Berto y Buenafuente hecho serie y sobre misterio, inmejorable. Está chula y es perfectamente redonda. Funciona genial y los guiños-denuncia a Iker, maravillosos. Vigalondo es dios.
La ruta;2022;Me ha encantado. Todo el elenco trabaja genial. No hay tanta complejidad pero por momentos me ha recordado a La mesías. El recurso narrativo de ir hacia atrás en el tiempo le aporta mucha riqueza. Quitando algún detalle, como valenciana digo que está bien llevada.
Alta fidelidad;2000;Bastante sin más. Chirría bastante el tema machuno pero claro, tiene 24 años. Hay momentos chulos pero no destaca en nada. Y mira que podría brillar, en los monólogos, los diálogos... Al final es como que falta chicha.
Mi reno de peluche;2024;Está chula pero a veces se abusa de la misma fórmula narrativa y de montaje y eso pasa factura. Ese montaje frenético con voz en off y estructura sumario... No sé. Hace que al final se disipe todo un poco. No será recordada.
Las horas;2002;Me ha gustado bastante. Habría preferido más drama en algunos diálogos y mucha menos música pero está chula. Una vez más, el tiempo. El tiempo es todo lo que tenemos. Este tiempo. Ahora.
When they see us;2019;Muy buena pero la enésima movida sobre inocentes condenados en Estados Unidos. Que está genial la serie y todos trabajan muy bien pero lo de siempre: que es un país de mierda. Está guay complementala con el Last Week Tonight: Police Interrogations.
Talk to me;2022;Muy buen cine de terror. Crea un universo coherente, camina adelante, es inquietante, te mantiene pegado al sillón, un heimlich-unheimlich bastante verosímil y bien llevado para ser terror puro y duro... Me ha gustado muchísimo. Recomendada.
The Newsroom;2012;Solo vi la primera temporada. No me acabó. Muy compleja, demasiado para verla en VOS y con tantísimos diálogos y tanta rapidez. Tenía un punto de sitcom que descolocaba bastante, igual que el pufo patriótico. Temas interesantes pero not my cup of tea.
The Patient;2022;Me ha gustado mucho. Maravilla ver a Steve Carell en un papel dramático. Camina adelante y mantiene intriga, si bien el saber qué pasa por la mente del psicólogo llega tarde (pero llega). Se agradece mucho que no se recurra al psicoanálisis. Está guapa.
Eric;2024;Muy chula. Factura cuidada y trama algo fantasiosa bien llevada. Eso sí, se han pasado con esas cámaras de seguridad que lo recogen todo a color y 4K en los años ochenta
Te veo;2019;Empieza mal no, lo siguiente. Típica americanada mala. A mitad da un giro de guión y algo mejora. Al menos el efecto sorpresa ese no está mal. Pero no será recordada.
Ripley;2024;Maravillosa. Una delicia visual y narrativa. Los vínculos con el arte, la ausencia de amoríos.... Un cosmos redondo porque acaso algo mejor que una de intriga en la Italia de los años sesenta en blanco y negro?
Tres idénticos desconocidos;2018;No hay una historia, no tiene nada que contar. Sí, a veces la realidad supera la ficción pero para hacerla película necesitas información. Promete mucho más de lo que puede dar y es lenta pues está infladísima de elementos innecesarios.
Smile;2022;Está chula y tiene buenos sustos pero el final es flojo y no responde a la dinámica esperable del género. Pero lo peor es que no hay ninguna transformación en el arco narrativo que motive nada. Preferiría haber visto la historia del presidiario porque la de Rose...
Megamix brutal;2024;Me ha gustado mucho. Son unos crápulas todos, unos más que otros, pero crápulas y vendidos al fin y al cabo. Está genial ver a las claras la cloaca que es la mediocre industria musical de la que luego surgió OT. La verdad que mis dieses.
Cómo cazar a un monstruo;2024;No entiendo el éxito. La serie sigue al condenado pero la historia (si es que acaso puede haber drama aquí) no está en él. Le sobra metraje por repetitiva y el título refleja poco lo que pasa, pues se caza a un monstruo ya cazado.
Eduardo Manostijeras;1990;La he vuelto a ver después de eones. Sigue siendo el cuento hermoso que fue en su día. Otra de esas pelis en las que la belleza y la tristeza son la misma cosa. Nos recuerda que el mundo es un lugar hostil para los que, siendo buenos, son diferentes.
The People v. O. J. Simpson;2016;Muy interesante. Pocas cosas más trepidantes que el Derecho en pantalla. Un caso en el que se le ven las grietas a las reglas del juego a ambos lados. Ejemplo preclaro de que en muchas ocasiones el Derecho no busca la verdad.
The architect;2023;Muy buenos mimbres y desarrollo, muy actual e interesante, pero el final un puto bajón aunque tampoco recuerdo muy bien. Tengo que hacer estas reseñas nada más acabar de ver las cosas!
